2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=277&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7815DD'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA69300000029
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=5426&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7815F'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA6930000002A
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=259&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7815P'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA6930000002B
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=269&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7818D'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA6930000002C
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=278&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7818DD'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA6930000002D
